availability,best_player_count,bgg_url,date,duration_min,id,max_players,min_age,min_players,name,price,url,weight
En stock. Recíbelo en 24/48 horas,4,https://boardgamegeek.com/boardgame/251247/barrage,2022-06-25,120,251247,4,14,1,BARRAGE,55.95,https://jugamosotra.com/es/juegos/7793-barrage.html,4.07
En stock. Recíbelo en 24/48 horas,3,https://boardgamegeek.com/boardgameexpansion/341254/lost-ruins-arnak-expedition-leaders,2022-06-25,120,341254,4,12,1,Las Ruinas Perdidas de Arnak: Líderes de la Expedición,26.95,https://jugamosotra.com/es/juegos/7676-las-ruinas-perdidas-de-arnak-lideres-de-la-expedicion.html,3.04
En stock. Recíbelo en 24/48 horas,3,https://boardgamegeek.com/boardgame/283095/cosmic-colonies,2022-06-25,45,283095,5,10,1,Colonias Cósmicas,27.94,https://jugamosotra.com/es/juegos/7706-colonias-cosmicas.html,2
Agotado. Consultar disponibilidad,3,https://boardgamegeek.com/boardgame/298383/golem,2022-06-25,120,298383,4,14,1,Gólem,45.5,https://jugamosotra.com/es/juegos/7701-golem.html,3.93
En Stock. Recíbelo en 24/48 horas,3,https://boardgamegeek.com/boardgame/320446/corduba-27-c,2022-06-25,180,320446,4,14,1,Corduba 27 a.C. + Promo,59.95,https://jugamosotra.com/es/juegos/7712-corduba-27-ac-promo.html,3.88
En stock. Recíbelo en 24/48 horas,3,https://boardgamegeek.com/boardgame/298383/golem,2022-06-25,120,298383,4,14,1,Gólem,51.95,https://jugamosotra.com/es/juegos/7715-golem.html,3.93
En stock. Recíbelo en 24/48 horas,4,https://boardgamegeek.com/boardgame/339789/welcome-moon,2022-06-25,30,339789,6,10,1,Welcome to the Moon,35.95,https://jugamosotra.com/es/juegos/7726-welcome-to-the-moon.html,2.37
En stock. Recíbelo en 24/48 horas,4,https://boardgamegeek.com/boardgame/258779/planet-unknown,2022-06-25,80,258779,6,10,1,Planeta Desconocido: Edición Deluxe,71.95,https://jugamosotra.com/es/juegos/7728-planeta-desconocido-edicion-deluxe.html,2.38
En stock. Recíbelo en 24/48 horas,9,https://boardgamegeek.com/boardgame/171037/doctor-panic,2022-06-25,12,171037,9,7,2,Doctor Panic + Promo,14.95,https://jugamosotra.com/es/juegos/7734-doctor-panic.html,1.22
Agotado. Consultar disponibilidad,3,https://boardgamegeek.com/boardgameexpansion/347102/star-wars-outer-rim-unfinished-business,2022-06-25,180,347102,4,14,1,Star Wars El Borde Exterior: Asuntos pendientes,44.95,https://jugamosotra.com/es/juegos/7743-star-wars-el-borde-exterior-asuntos-pendientes.html,2.8
